decade,word,tf
1500-1550,crime,1
1500-1550,cristum,1
1500-1550,cuculo,1
1500-1550,cun,1
1500-1550,curat,1
1500-1550,dame,1
1500-1550,de,8
1500-1550,declarat,1
1500-1550,del,2
1500-1550,di,2
1500-1550,difficil,1
1500-1550,dilig,1
1500-1550,doctorvm,1
1500-1550,domini,1
1500-1550,druckerangab,1
1500-1550,durch,2
1500-1550,ecclesia,3
1500-1550,ed,1
1500-1550,edin,1
1500-1550,elementi,1
1500-1550,elucidat,1
1500-1550,endapap,1
1500-1550,endpap,1
1500-1550,english,1
1500-1550,enth,4
1500-1550,entir,1
1500-1550,entri,1
1500-1550,epigrammata,1
1500-1550,er,4
1500-1550,est,2
1500-1550,estc,1
1500-1550,et,6
1500-1550,euangelio,1
1500-1550,ex,3
1500-1550,excvdebat,1
1500-1550,excvsvm,1
1500-1550,exp,1
1500-1550,extens,1
1500-1550,eystettensem,1
1500-1550,februario,1
1500-1550,festina,1
1500-1550,fidei,1
1500-1550,final,1
1500-1550,first,2
1500-1550,flore,1
1500-1550,flyleaf,4
1500-1550,foot,2
1500-1550,foreedg,1
1500-1550,fraktur,4
1500-1550,frame,1
1500-1550,francesco,1
1500-1550,fraternit,1
1500-1550,fraternitatem,1
1500-1550,free,2
1500-1550,friderich,1
1500-1550,front,3
1500-1550,frosch,2
1500-1550,fuit,1
1500-1550,funff,1
1500-1550,funffzehennden,1
1500-1550,galeoti,1
1500-1550,gedruckt,1
1500-1550,generalibu,1
1500-1550,georgium,1
1500-1550,ginei,1
1500-1550,gio,1
1500-1550,giou,1
1500-1550,got,1
1500-1550,grammat,1
1500-1550,gran,1
1500-1550,grandiu,1
1500-1550,greek,4
1500-1550,griech,3
1500-1550,haganoa,1
1500-1550,hagenaw,1
1500-1550,hand,7
1500-1550,head,1
1500-1550,henricu,1
1500-1550,henricv,1
1500-1550,henryson,2
1500-1550,hermanni,1
1500-1550,hervagi,1
1500-1550,hervagivm,1
1500-1550,heu,1
1500-1550,hildebr,1
1500-1550,hominvm,1
1500-1550,hulderichum,1
1500-1550,hundert,1
1500-1550,hydropico,1
1500-1550,iacobum,2
1500-1550,iali,1
1500-1550,idu,1
1500-1550,iii,1
1500-1550,imp,2
1500-1550,impensi,1
1500-1550,impressum,1
1500-1550,imprint,24
1500-1550,includ,1
1500-1550,index,1
1500-1550,industriu,1
1500-1550,ingolstadii,1
1500-1550,initi,1
1500-1550,inscrib,3
1500-1550,inscript,13
1500-1550,instantia,1
1500-1550,institut,1
1500-1550,interpremno,1
1500-1550,invert,1
1500-1550,io,4
1500-1550,ioan,1
1500-1550,ioannem,4
1500-1550,ioanni,2
1500-1550,ipsa,3
1500-1550,ir,1
1500-1550,iustitia,1
1500-1550,jare,1
1500-1550,jm,1
1500-1550,joachim,1
1500-1550,joanni,1
1500-1550,john,1
1500-1550,joseph,1
1500-1550,kolophon,10
1500-1550,label,1
1500-1550,larma,1
1500-1550,last,1
1500-1550,latin,3
1500-1550,laud,1
1500-1550,laudem,1
1500-1550,leaf,4
1500-1550,leather,1
1500-1550,lent,1
1500-1550,libraro,1
1500-1550,libri,1
1500-1550,lilio,1
1500-1550,lipsia,1
1500-1550,lord,1
1500-1550,lost,1
1500-1550,lower,1
1500-1550,lutetia,1
1500-1550,magni,1
1500-1550,manuscript,14
1500-1550,marg,1
1500-1550,marginalia,2
1500-1550,mari,2
1500-1550,mariam,1
1500-1550,martio,2
1500-1550,mathiam,1
1500-1550,mcphail,1
1500-1550,meder,1
1500-1550,mediolani,1
1500-1550,medo,1
1500-1550,mens,4
1500-1550,mese,1
1500-1550,messer,1
1500-1550,microfich,1
1500-1550,microfilm,1
1500-1550,mikrofich,27
1500-1550,militant,1
1500-1550,miscellan,1
1500-1550,miss,1
1500-1550,mo,1
1500-1550,modern,1
1500-1550,mogvntia,1
1500-1550,morbo,1
1500-1550,moreau,1
1500-1550,morhardu,1
1500-1550,nach,1
1500-1550,name,1
1500-1550,ne,1
1500-1550,nel,1
1500-1550,next,1
1500-1550,nicolo,1
1500-1550,note,3
1500-1550,number,1
1500-1550,officina,2
1500-1550,officiu,1
1500-1550,one,1
1500-1550,oppido,1
1500-1550,orchaden,1
1500-1550,origin,22
