author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,urls
Barry Lee,"['Lee, Barry,1945-']",[[Basic systems analysis /]],[1990.0],"['Leckhampton, Cheltenham : S. Thornes,']",['eng'],[nan],[nan],1990.0,1990.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQISnkE0p_kY4vz9c9E12zU9J8R4yUsMaimUExkykgYbESlp2cGlqyd5Gzigw&s']
James Hughes,"['Hughes, James,1937-']",[[Astrology and science /]],[1970.0],['London P. Davies'],['eng'],['Astrology.'],['bibl p243-246'],1970.0,1970.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpA2-7YnHewm8_CP0Yz7gGy_OdcWglOGYawlwIwmjzyPwpuPwC_CcquOqf6w&s']
Kathleen Hayes,"['Hayes, Kathleen,1955-']",[[The journalism of Milena Jesenská : a critical voice in interwar Central Europe /]],[2003.0],"['New York ; Oxford : Berghahn Books,']",['eng'],['Journalism'],"['Articles from Tribuna, 1920-1922 -- Articles from Národny listy and Lidové noviny, 1922-1929 -- Articles from Přítomnost, 1938-1939.']",2003.0,2003.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdNRb58ufviLjJwpdmEFqbZKue9rjwGCEKysvCYt91jSJ_mRatGaNBSMVoSQ&s']
Selina Hastings,"['Hastings, Selina,1945-']",[[The surviving works of Anne Wharton /]],[1997.0],"['Stump Cross : Stump Cross Books,']",['eng'],[nan],['Bibliography: p365-372 - Includes index'],1997.0,1997.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9zjOE_bnNFnauUdpZ2eRpSfCNJsCK7kOXeFtW82r0FH0CqlHLirlO1W5OSQ&s']
Anatolii Mariengof,"['Mariengof, Anatoliĭ,1897-1962.']",[[Malenkie komedii.]],[1957.0],"['Leningrad, ']",['rus'],[nan],['Microfiche edition.'],1957.0,1957.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpGhl_GHFULHhNdcG3qG40aqr3PMg5pg5Dh6D9ttUuEssBmWOHXX9xmWyIXA&s']
Clara Reeve,"['Reeve, Clara,1729-1807.']","[[The school for widows. A novel. In two volumes. By Clara Reeve, ...]]",[1791.0],"['Dublin : printed by William Porter, for P. Wogan, P. Byrne, H. Colbert, J. Moore, J. Halpen [and 5 others in Dublin],']",['eng'],[nan],['ESTC'],1791.0,1791.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmthvdVsGw1BFRgqcGJ81SjDjRr-p3RvSyvuw4RfH-SwbS4Wy-ZXYaeqjiyi4&s']
George Cockburn Haldane,"['Haldane, George Cockburn,1729-1799.']","[""From the Court of Session in Scotland. George Haldane, Esq; of Gleneagles, - appellant. The Honourable John Elphinston of Cumbernauld, assignee of the now deceased George Keith, late Earl Marischal, - - - respondent. The appellant's case.""]",[1780.0],"['[London,']",['eng'],[nan],['ESTC'],1780.0,1780.0,1,['https://www.uoduckstore.com/TDS%20Product%20Images/QuickStudy%20Book%20for%20Calculus_1.jpg?resizeid=3&resizeh=195&resizew=195']
Peter Geoffrey Paul Thompson,"['Thompson, Peter Geoffrey Paul,1947-']",[[Winter in openheart /]],[1995.0],"['[Romford?] : Sharkti Laureate,']",['eng'],[nan],[nan],1995.0,1995.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8GyqdcIKXIBsRc_7VZg-pbsYT6Evm56sceY-pJqtg04glZvEwafHBfGVEzHM&s']
Muriel V. Searle,"['Searle, Muriel V.(Muriel Vivienne),1932-']",[[Bromley Football Club 1892-1992 a centenary history]],[1992.0],['Bromley Bromley Football Club'],['eng'],['Soccer'],[nan],1992.0,1992.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUQtlFZ7hxHoYpfyWN1q8FiPr1ViZBwfbUvBVQSD9BNawJBgjO-la9beC13A&s']
Walter Harding,"['Harding, Walter,1917-']",[[The days of Henry Thoreau a biography]],[1982.0],['New York Dover London Constable'],['eng'],"['Authors, American']",['Includes index'],1982.0,1982.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT00Rjrt0fWgsb2uDG0bvrzY7X9lAdI_sCpc3vCa8_qZD0vlftmlZTfQnQWTQ&s']
Alexander Stuart,"['Stuart, Alexander,1673-1742.']","[[New discoveries and improvements in the most considerable branches of anatomy and surgery Wherein four of the most dangerous operations are prevented, ... The whole proposed by way of instruction; and illustrated with cases and cures, by Mr. Stuart, ...]]",[1738.0],"['London : printed for the author,']",['eng'],[nan],['ESTC'],1738.0,1738.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRItr3AUuj9foJVbOmAgSgz7JJsi_u1ACpPAI1NCjeErzAGJWKC3ypXMTPcyl8&s']
Marcia Davenport,"['Davenport, Marcia,1903-1996.', 'Davenport, Marcia,1903-1996.']","[[East side, West side, The valley of decision]]","[1976.0, 1977.0]","['Bath Chivers', '[London] Fontana']","['eng', 'eng']","['English fiction.', 'English fiction.']","['Originally published: London : Collins, 1948', 'Originally published: New York : Scribner, 1942 ; London : Collins, 1944']",1976.0,1977.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYrCmOmV2sUTYYyXJoyQJ5EcFgFjf7DEzyMekMTIS6eST580Jxoa_prvpmp7o&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIlq8nKEBnlwSqVrqlawosRyqQCMYg4M9eUjCmb4vWZacRZSTLvnooGohTUg&s']"
Ian Graham,"['Graham, Ian,1953-', 'Graham, Ian,1953-', 'Graham, Ian,1953-']","[[Racing cars /, Music & sound /, Geothermal and bio-energy /]]","[1994.0, 2000.0, 2001.0]","['London : Watts Books,', 'Tonbridge : Ticktock,', 'London : Hodder Wayland,']","['eng', 'eng', 'eng']","[nan, 'Sound', 'Renewable energy sources']","[nan, 'Music and sound.', nan]",1994.0,2001.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzuBYjG4MZz4N889hbAf2kEmYKFYhCKuL5i9G2vTVBiWpqM648jhDxSPdCsQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbHLBF9ybMzH43kb-hNeT0DqEDRKa8dq1XEmctaTh0FjNvr6WBHn4LkbvFuts&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnl16S6NecvCvvjA2OkZv-xFz7c3s9pebOrk425eLXlisnaot5Zl2exrXeRwE&s']"
Doug J. Swanson,"['Swanson, Doug J.,1953-']",[[Big town /]],[1994.0],"['London : Warner,']",['eng'],[nan],[nan],1994.0,1994.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR78OD6rOj2F53PpxLmpK4EdCmH8GK9uIlUAOmeNpyr1J997MT20MQqxxWVfqE&s']
Enzo Pesciarelli,"['Pesciarelli, Enzo,1948-']",[[Lezioni di Glasgow /]],[1989.0],"['Milano : Giuffrè,']",['ita'],['Jurisprudence.'],['Translation of: Lectures on jurisprudence.'],1989.0,1989.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkB7W0AqijvUVkXf-QdJCgFAvWBrp202bfRCEsSBsHp2UjLuFHCK8gXnZdGg&s']
AMJ Chastenet de Puysegur,"['Chastenet de Puységur, A.-M.-J.(Armand-Marie-Jacques),1751-1825.']","[""Mémoires pour servir à l'histoiré et à l'établissement du magnétisme animal.""]",[1786.0],"['Londres [i.e. Paris?],']",['fre'],[nan],['ESTC'],1786.0,1786.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrXJxN_ckouB-kdd0k65sSi7nMGqnMPtEnH73wC9zfHIcwScLymYcijaHkQHw&s']
